,0
0,1.6722862554371412
1,0.5298734824964583
2,0.146672085583976
3,-1.6397323997876876
4,-0.6768836000535307
5,-1.9063342953095335
6,-0.42442036909925523
7,-1.573787433231983
8,1.4516301471330202
9,0.09541648754418802
10,0.26940241603529963
11,-1.719090268304292
12,0.2056499266416165
13,-0.32503291187799954
14,0.7355970823823571
15,1.710574600652638
16,-1.166255428297473
17,0.9660152396805676
18,-0.8073825073641557
19,0.7381082066323169
20,0.909546679847455
21,-0.605855293470691
22,-0.09087217653397345
23,-0.04120573966543009
24,-0.22263296537105323
25,0.6178439961166811
26,-0.11733123795581102
27,-0.412857030459006
28,-0.6899461280914716
29,2.0088745713061145
30,-1.1260110837553658
31,-0.06727832879895108
32,-0.4338920002094048
33,1.1607377157860792
34,1.436501987101768
35,-0.18070217195071547
36,-1.389634773275745
37,0.11315236593142948
38,0.8013900675672131
39,-0.5864113617382044
40,0.4732401646954823
41,0.6653816514838061
42,-0.9588947994770857
43,-0.5241796409878684
44,-1.1871788206658231
45,1.49636958548635
46,-0.6828809636640369
47,1.584761127837329
48,1.1668431129062633
49,-0.52479173516281
50,0.8774668332400583
51,-1.5075881606124175
52,-0.9858802624118445
53,0.6127600949966028
54,1.8189745333014313
55,0.9017879833769281
56,0.16125261392654983
57,-1.0364963059737247
58,-0.7205937412383913
59,-0.4799852881851796
60,-0.7095960070806099
61,-0.2744314804731985
62,1.0231164220715845
63,0.3261080433036483
