,0
0,0.08643243897418477
1,0.7135747274162537
2,-2.039131963089774
3,0.4846609337974922
4,0.8299648882922419
5,0.807286972182796
6,2.1345814815574724
7,0.25556666394695593
8,-1.282988446022167
9,-0.15025250328193093
10,0.031072765235901603
11,0.49691356157619476
12,1.2072618087819067
13,-1.0679278460448371
14,0.061811508954305594
15,0.16305193051881173
16,-0.2274176354236469
17,-0.6722342704901724
18,-1.2262887662004383
19,1.4527487585814334
20,-0.6044738023713446
21,0.1705440200813301
22,-1.5439565014265706
23,0.5411495998930876
24,0.6361361466826256
25,0.44543596730380425
26,1.1863014473853088
27,-1.343028614060058
28,1.2174223941607933
29,1.204636454506282
30,-0.2088374183445803
31,0.8211984130260093
32,0.825823127498011
33,-2.1687138380355515
34,-0.2517692015902405
35,-0.7281700861900539
36,1.0620390676729072
37,0.4167625771298962
38,0.30640398766561844
39,0.0244866001237003
40,1.4045705622918234
41,-1.4537899280159814
42,-0.15043390138063015
43,0.7452670104363127
44,-1.93959054692166
45,-0.6858483014284739
46,0.9255020149281566
47,-1.141725411025072
48,-1.8887140948626884
49,-2.733439990171917
50,-0.26491336154663336
51,-0.12726285428486003
52,-1.1900430881671258
53,-0.830953946525703
54,-0.11428902314511782
55,-0.798298404839455
56,-2.3469326259091785
57,1.2082801259365532
58,0.6111752697128319
59,1.3417865497364718
60,-0.815251096553452
61,0.10265750154529464
62,-0.9241703609178941
63,1.6413767803478012
