,0
0,-0.46435680918778477
1,-0.7946881977154999
2,2.092935305983125
3,0.7400944083362501
4,-0.6742585316352081
5,-0.99692832371918
6,0.44174877537164386
7,-0.6622705038164967
8,0.3505641454019912
9,1.6812676931100137
10,-0.443774653744188
11,2.4560973088026645
12,0.15262442297301823
13,-1.4392015195806447
14,0.04751819472426988
15,-0.04942203525507742
16,-1.3599655375342294
17,0.11084166515853534
18,-0.11585108427893026
19,-1.0663414737134906
20,-0.6794093106110912
21,-0.18102245514667867
22,1.131170621965532
23,0.0759563072987706
24,0.5154949833935996
25,-1.283191575197138
26,-0.11393387682489083
27,-0.22309274414412814
28,1.3280184412387739
29,0.1805833493958042
30,-1.1686198177378206
31,-1.480571246923936
32,1.5159645631183096
33,-0.7611671871926099
34,0.0737848519631844
35,-0.7942591821050887
36,0.981080265736211
37,0.09065936016206562
38,-2.127797293713858
39,-0.0757165979125711
40,-0.08443780436999306
41,-0.8487548740570877
42,-0.5496137115988219
43,0.6366266447995038
44,-0.9067960987204945
45,0.5772440942351539
46,2.3044888953238916
47,-2.401672869126525
48,-1.2721655658814581
49,1.5434931356283743
50,0.859232142506769
51,0.7345531144865699
52,1.2398631984000814
53,0.08131343640375274
54,-0.6438738586929994
55,0.45104733200625224
56,0.32419066811840225
57,0.4013046493546825
58,-0.593366547802444
59,-1.5324740785424742
60,-1.0440687249746943
61,-1.6905973533693075
62,0.9188931312378672
63,-0.38985921529291945
